Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
40,"J Lee, M Zhou",Why class matters less for Asian-American academic achievement,105,2019, taylorfrancis.com, Asian Migration and Education Cultures in the …,https://www.taylorfrancis.com/chapters/edit/10.4324/9780429059223-3/class-matters-less-asian-american-academic-achievement-jennifer-lee-min-zhou,15
17,"ES Lee, X Rong",The educational and economic achievement of Asian-Americans,90,1988, journals.uchicago.edu, The Elementary School Journal,https://www.journals.uchicago.edu/doi/abs/10.1086/461556,2
80,MY Danico,Asian American society: an encyclopedia,86,2014, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=gZleBAAAQBAJ&oi=fnd&pg=PP1&dq=asian+american+housing,+economics&ots=HzLdkIbXWv&sig=Ul2RmJ36yRGu_jm6_jl7usQJ3c8",7
88,M Ro,Moving forward: addressing the health of Asian American and Pacific Islander women,86,2002, ajph.aphapublications.org, American journal of public health,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.92.4.516,4
44,"A Covarrubias, DD Liou",Asian American education and income attainment in the era of post-racial America,74,2014, journals.sagepub.com, Teachers College Record,https://journals.sagepub.com/doi/abs/10.1177/016146811411600602,6
52,"C Trinh-Shevrin, NS Islam, MJ Rey","Asian American communities and health: context, research, policy, and action",71,2009, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=naz2sDNOi0AC&oi=fnd&pg=PT12&dq=asian+american+housing,+economics&ots=PcAVqfRHJS&sig=bfGzncxSp1m3DIUq1SM1JF9LG8k",4
48,"I Takei, A Sakamoto",Poverty among Asian Americans in the 21st century,69,2011, journals.sagepub.com, Sociological perspectives,https://journals.sagepub.com/doi/abs/10.1525/sop.2011.54.2.251,5
38,C So,Economic citizens: A narrative of Asian American visibility,68,2009, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=KFBzEAAAQBAJ&oi=fnd&pg=PR7&dq=asian+american+housing,+economics&ots=N102qrdYxd&sig=HQItoJfU0014sv0maNFyPF0orl0",4
22,RT Teranishi,Yellow and Brown: Emerging Asian American Immigrant Populations and Residential Segregation,65,2004, Taylor & Francis, Equity & Excellence in Education,https://www.tandfonline.com/doi/abs/10.1080/10665680490491551,3
93,"ER Mayeda, MM Glymour…",Heterogeneity in 14-year dementia incidence between Asian American subgroups,64,2017, journals.lww.com, Alzheimer Disease & …,https://journals.lww.com/alzheimerjournal/fulltext/2017/07000/heterogeneity_in_14_year_dementia_incidence.1.aspx,7
63,R Endo,Asian Americans and higher education,60,1980, JSTOR,),https://www.jstor.org/stable/274861,1
19,N Hilger,Upward mobility and discrimination: The case of Asian Americans,59,2016, nber.org,,https://www.nber.org/papers/w22748,6
67,SG Lim,"Assaying the Gold: Or, Contesting the Ground of Asian American Literature",59,1993, JSTOR, New Literary History,https://www.jstor.org/stable/469276,2
100,"KPK Ma, AM Bacong, SC Kwon, SS Yi…",The impact of structural inequities on older Asian Americans during COVID-19,57,2021, frontiersin.org, Frontiers in Public …,https://www.frontiersin.org/articles/10.3389/fpubh.2021.690014/full,11
79,"W Li, E Skop, W Yu","Enclaves, ethnoburbs, and new patterns of settlement among Asian immigrants",54,2007, degruyterbrill.com, … Asian America: A multidisciplinary reader,https://www.degruyterbrill.com/document/doi/10.18574/nyu/9781479849994.003.0014/pdf,3
47,"WM Liu, MJ Cuyjet, S Lee",Asian American student involvement in Asian American culture centers,50,2023, taylorfrancis.com, Culture centers in higher education,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003443971-3/asian-american-student-involvement-asian-american-culture-centers-william-ming-liu-michael-cuyjet-sunny-lee,17
45,"X Zhao, EJW Park","Asian Americans: An Encyclopedia of Social, Cultural, Economic, and Political History [3 volumes]",49,2013, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=6OPNEAAAQBAJ&oi=fnd&pg=PP1&dq=asian+american+housing,+economics&ots=bOylrB0JBw&sig=tEmVrwvMRsk5j5NeY2cg6Vns0HY",4
20,"J Gilheany, D Wang, S Xi",The model minority? Not on Airbnb. com: A hedonic pricing model to quantify racial bias against Asian Americans,47,2015, techscience.org, Technology Science,https://techscience.org/a/2015090104/,4
